operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
信仰搅拌机,6,2025-05-01 16:00:00,Sankta Miksaparato,build_char_4194_rmixer,4194_rmixer,sankta-miksaparato,信仰搅拌机,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/sankta-miksaparato,0f89a3de94e09b6cc1eb0412731e9a7b399fc81a
蕾缪安,6,2025-05-01 16:00:00,Lemuen,build_char_4193_lemuen,4193_lemuen,lemuen,蕾缪安,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/lemuen,0f89a3de94e09b6cc1eb0412731e9a7b399fc81a
Miss.Christine,5,2025-06-05 16:00:00,Miss.Christine,build_char_4198_christ,4198_christ,miss-christine,Miss.Christine,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/miss-christine,0f89a3de94e09b6cc1eb0412731e9a7b399fc81a
蒂比,5,2025-06-05 16:00:00,Tippi,build_char_4191_tippi,4191_tippi,tippi,蒂比,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/tippi,0f89a3de94e09b6cc1eb0412731e9a7b399fc81a
录武官,5,2025-07-08 16:00:00,Record Keeper,build_char_4196_reckpr,4196_reckpr,record-keeper,录武官,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/record-keeper,0f89a3de94e09b6cc1eb0412731e9a7b399fc81a
电弧,6,2025-07-15 16:00:00,Raidian,build_char_4195_radian,4195_radian,raidian,电弧,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/raidian,0f89a3de94e09b6cc1eb0412731e9a7b399fc81a
松桐,5,2025-08-02 16:00:00,Matsukiri,build_char_4199_makiri,4199_makiri,matsukiri,松桐,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/matsukiri,0f89a3de94e09b6cc1eb0412731e9a7b399fc81a
吉星,5,2025-08-02 16:00:00,Kichisei,build_char_4203_kichi,4203_kichi,kichisei,吉星,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/kichisei,0f89a3de94e09b6cc1eb0412731e9a7b399fc81a
遥,6,2025-08-02 16:00:00,Haruka,build_char_4202_haruka,4202_haruka,haruka,遥,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/haruka,0f89a3de94e09b6cc1eb0412731e9a7b399fc81a
祐天寺若麦,5,2025-09-04 16:00:00,Yūtenji Nyamu,build_char_4185_amoris,4185_amoris,yutenji-nyamu,祐天寺若麦,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/yutenji-nyamu,0f89a3de94e09b6cc1eb0412731e9a7b399fc81a
