operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
小满,5,2024-02-01 16:00:00,Grain Buds,build_char_4122_grabds,4122_grabds,grain-buds,小满,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/grain-buds,36eee263d179c6966ec985a224e03eb58f39b157
左乐,6,2024-02-01 16:00:00,Zuo Le,build_char_4121_zuole,4121_zuole,zuo-le,左乐,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/zuo-le,36eee263d179c6966ec985a224e03eb58f39b157
黍,6,2024-02-01 16:00:00,Shu,build_char_2025_shu,2025_shu,shu,黍,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/shu,36eee263d179c6966ec985a224e03eb58f39b157
红隼,5,2024-02-03 16:00:00,Kestrel,build_char_4023_rfalcn,4023_rfalcn,kestrel,红隼,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/kestrel,36eee263d179c6966ec985a224e03eb58f39b157
导火索,5,2024-03-07 16:00:00,Fuze,build_char_4126_fuze,4126_fuze,fuze,导火索,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/fuze,36eee263d179c6966ec985a224e03eb58f39b157
双月,5,2024-03-07 16:00:00,Iana,build_char_4124_iana,4124_iana,iana,双月,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/iana,36eee263d179c6966ec985a224e03eb58f39b157
医生,5,2024-03-07 16:00:00,Doc,build_char_4125_rdoc,4125_rdoc,doc,医生,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/doc,36eee263d179c6966ec985a224e03eb58f39b157
艾拉,6,2024-03-07 16:00:00,Ela,build_char_4123_ela,4123_ela,ela,艾拉,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/ela,36eee263d179c6966ec985a224e03eb58f39b157
露托,4,2024-04-11 16:00:00,Lutonada,build_char_4130_luton,4130_luton,lutonada,露托,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/lutonada,36eee263d179c6966ec985a224e03eb58f39b157
奥达,5,2024-04-11 16:00:00,Odda,build_char_4131_odda,4131_odda,odda,奥达,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/odda,36eee263d179c6966ec985a224e03eb58f39b157
