operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
布洛卡,5,2019-12-10 16:00:00,Broca,build_char_356_broca,356_broca,broca,布洛卡,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/broca,f6b19fa538de71f1eb3cca98a48f7553debb9653
安比尔,4,2019-12-24 16:00:00,Ambriel,build_char_302_glaze,302_glaze,ambriel,安比尔,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/ambriel,f6b19fa538de71f1eb3cca98a48f7553debb9653
灰喉,5,2019-12-24 16:00:00,GreyThroat,build_char_367_swllow,367_swllow,grey-throat,灰喉,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/grey-throat,f6b19fa538de71f1eb3cca98a48f7553debb9653
煌,6,2019-12-24 16:00:00,Blaze,build_char_017_huang,017_huang,blaze,煌,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/blaze,f6b19fa538de71f1eb3cca98a48f7553debb9653
雪雉,5,2020-01-09 04:00:00,Snowsant,build_char_383_snsant,383_snsant,snowsant,雪雉,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/snowsant,f6b19fa538de71f1eb3cca98a48f7553debb9653
吽,5,2020-01-16 16:00:00,Hung,build_char_226_hmau,226_hmau,hung,吽,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/hung,f6b19fa538de71f1eb3cca98a48f7553debb9653
阿,6,2020-01-16 16:00:00,Aak,build_char_225_haak,225_haak,aak,阿,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/aak,f6b19fa538de71f1eb3cca98a48f7553debb9653
年,6,2020-01-16 16:00:00,Nian,build_char_2014_nian,2014_nian,nian,年,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/nian,f6b19fa538de71f1eb3cca98a48f7553debb9653
惊蛰,5,2020-02-25 16:00:00,Leizi,build_char_306_leizi,306_leizi,leizi,惊蛰,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/leizi,f6b19fa538de71f1eb3cca98a48f7553debb9653
刻俄柏,6,2020-02-25 16:00:00,Ceobe,build_char_2013_cerber,2013_cerber,ceobe,刻俄柏,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/ceobe,f6b19fa538de71f1eb3cca98a48f7553debb9653
