operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
豆苗,4,2021-01-05 16:00:00,Beanstalk,build_char_452_bstalk,452_bstalk,beanstalk,豆苗,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/beanstalk,46182456e7ad9a5a878ca739483929bc6842f215
爱丽丝,5,2021-01-05 16:00:00,Iris,build_char_338_iris,338_iris,iris,爱丽丝,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/iris,46182456e7ad9a5a878ca739483929bc6842f215
空弦,6,2021-01-05 16:00:00,Archetto,build_char_332_archet,332_archet,archetto,空弦,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/archetto,46182456e7ad9a5a878ca739483929bc6842f215
图耶,5,2021-01-19 16:00:00,Tuye,build_char_402_tuye,402_tuye,tuye,图耶,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/tuye,46182456e7ad9a5a878ca739483929bc6842f215
乌有,5,2021-02-05 16:00:00,Mr.Nothing,build_char_455_nothin,455_nothin,mr-nothing,乌有,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/mr-nothing,46182456e7ad9a5a878ca739483929bc6842f215
嵯峨,6,2021-02-05 16:00:00,Saga,build_char_362_saga,362_saga,saga,嵯峨,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/saga,46182456e7ad9a5a878ca739483929bc6842f215
夕,6,2021-02-05 16:00:00,Dusk,build_char_2015_dusk,2015_dusk,dusk,夕,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/dusk,46182456e7ad9a5a878ca739483929bc6842f215
战车,5,2021-03-09 16:00:00,Tachanka,build_char_459_tachak,459_tachak,tachanka,战车,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/tachanka,46182456e7ad9a5a878ca739483929bc6842f215
闪击,5,2021-03-09 16:00:00,Blitz,build_char_457_blitz,457_blitz,blitz,闪击,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/blitz,46182456e7ad9a5a878ca739483929bc6842f215
霜华,5,2021-03-09 16:00:00,Frost,build_char_458_rfrost,458_rfrost,frost,霜华,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/frost,46182456e7ad9a5a878ca739483929bc6842f215
