operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
THRM-EX,1,2020-05-01 16:00:00,Thermal-EX,build_char_376_therex,376_therex,thermal-ex,THRM-EX,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/thermal-ex,fbd4b40e0c8a15bd4c213f202ab66a451c4452c6
极境,5,2020-05-01 16:00:00,Elysium,build_char_401_elysm,401_elysm,elysium,极境,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/elysium,fbd4b40e0c8a15bd4c213f202ab66a451c4452c6
温蒂,6,2020-05-01 16:00:00,Weedy,build_char_400_weedy,400_weedy,weedy,温蒂,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/weedy,fbd4b40e0c8a15bd4c213f202ab66a451c4452c6
W,6,2020-05-01 16:00:00,W,build_char_113_cqbw,113_cqbw,w,W,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/w,fbd4b40e0c8a15bd4c213f202ab66a451c4452c6
石棉,5,2020-06-02 16:00:00,Asbestos,build_char_378_asbest,378_asbest,asbestos,石棉,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/asbestos,fbd4b40e0c8a15bd4c213f202ab66a451c4452c6
月禾,5,2020-06-02 16:00:00,Tsukinogi,build_char_343_tknogi,343_tknogi,tsukinogi,月禾,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/tsukinogi,fbd4b40e0c8a15bd4c213f202ab66a451c4452c6
波登可,4,2020-06-18 16:00:00,Podenco,build_char_258_podego,258_podego,podenco,波登可,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/podenco,fbd4b40e0c8a15bd4c213f202ab66a451c4452c6
苦艾,5,2020-06-18 16:00:00,Absinthe,build_char_405_absin,405_absin,absinthe,苦艾,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/absinthe,fbd4b40e0c8a15bd4c213f202ab66a451c4452c6
莱恩哈特,5,2020-06-18 16:00:00,Leonhardt,build_char_373_lionhd,373_lionhd,leonhardt,莱恩哈特,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/leonhardt,fbd4b40e0c8a15bd4c213f202ab66a451c4452c6
早露,6,2020-06-18 16:00:00,Роса,build_char_197_poca,197_poca,rosa,早露,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/rosa,fbd4b40e0c8a15bd4c213f202ab66a451c4452c6
