operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path
灰烬,6,2021-03-09 16:00:00,Ash,build_char_456_ash,456_ash,ash,灰烬,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/ash
暴雨,5,2021-04-15 16:00:00,Heavyrain,build_char_304_zebra,304_zebra,heavyrain,暴雨,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/heavyrain
熔泉,5,2021-04-15 16:00:00,Toddifons,build_char_363_toddi,363_toddi,toddifons,熔泉,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/toddifons
异客,6,2021-04-15 16:00:00,Passenger,build_char_472_pasngr,472_pasngr,passenger,异客,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/passenger
赤冬,5,2021-05-01 16:00:00,Akafuyu,build_char_475_akafyu,475_akafyu,akafuyu,赤冬,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/akafuyu
歌蕾蒂娅,6,2021-05-01 16:00:00,Gladiia,build_char_474_glady,474_glady,gladiia,歌蕾蒂娅,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/gladiia
凯尔希,6,2021-05-01 16:00:00,Kal'tsit,build_char_003_kalts,003_kalts,kal-tsit,凯尔希,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/kal-tsit
深靛,4,2021-06-01 16:00:00,Indigo,build_char_469_indigo,469_indigo,indigo,深靛,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/indigo
贝娜,5,2021-06-01 16:00:00,Bena,build_char_369_bena,369_bena,bena,贝娜,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/bena
绮良,5,2021-06-01 16:00:00,Kirara,build_char_478_kirara,478_kirara,kirara,绮良,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/kirara
