operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
奥斯塔,5,2020-10-15 16:00:00,Aosta,build_char_346_aosta,346_aosta,aosta,奥斯塔,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/aosta,64ecac751d3d2af157a0165995e8ce7812ca34fa
瑕光,6,2020-10-15 16:00:00,Blemishine,build_char_423_blemsh,423_blemsh,blemishine,瑕光,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/blemishine,64ecac751d3d2af157a0165995e8ce7812ca34fa
杰克,4,2020-11-01 16:00:00,Jackie,build_char_347_jaksel,347_jaksel,jackie,杰克,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/jackie,64ecac751d3d2af157a0165995e8ce7812ca34fa
絮雨,5,2020-11-01 16:00:00,Whisperain,build_char_436_whispr,436_whispr,whisperain,絮雨,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/whisperain,64ecac751d3d2af157a0165995e8ce7812ca34fa
泥岩,6,2020-11-01 16:00:00,Mudrock,build_char_311_mudrok,311_mudrok,mudrock,泥岩,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/mudrock,64ecac751d3d2af157a0165995e8ce7812ca34fa
迷迭香,6,2020-11-01 16:00:00,Rosmontis,build_char_391_rosmon,391_rosmon,rosmontis,迷迭香,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/rosmontis,64ecac751d3d2af157a0165995e8ce7812ca34fa
松果,4,2020-12-17 16:00:00,Pinecone,build_char_440_pinecn,440_pinecn,pinecone,松果,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/pinecone,64ecac751d3d2af157a0165995e8ce7812ca34fa
罗宾,5,2020-12-17 16:00:00,Robin,build_char_451_robin,451_robin,robin,罗宾,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/robin,64ecac751d3d2af157a0165995e8ce7812ca34fa
卡夫卡,5,2020-12-17 16:00:00,Kafka,build_char_214_kafka,214_kafka,kafka,卡夫卡,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/kafka,64ecac751d3d2af157a0165995e8ce7812ca34fa
山,6,2020-12-17 16:00:00,Mountain,build_char_264_f12yin,264_f12yin,mountain,山,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/mountain,64ecac751d3d2af157a0165995e8ce7812ca34fa
