operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
酸糖,4,2020-08-25 16:00:00,Aciddrop,build_char_366_acdrop,366_acdrop,aciddrop,酸糖,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/aciddrop,dbdac7315a2297b1615c05518fe94d08a983e9fe
特米米,5,2020-08-25 16:00:00,Tomimi,build_char_411_tomimi,411_tomimi,tomimi,特米米,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/tomimi,dbdac7315a2297b1615c05518fe94d08a983e9fe
燧石,5,2020-08-25 16:00:00,Flint,build_char_415_flint,415_flint,flint,燧石,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/flint,dbdac7315a2297b1615c05518fe94d08a983e9fe
森蚺,6,2020-08-25 16:00:00,Eunectes,build_char_416_zumama,416_zumama,eunectes,森蚺,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/eunectes,dbdac7315a2297b1615c05518fe94d08a983e9fe
芳汀,4,2020-09-24 16:00:00,Arene,build_char_271_spikes,271_spikes,arene,芳汀,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/arene,dbdac7315a2297b1615c05518fe94d08a983e9fe
薄绿,5,2020-09-24 16:00:00,Mint,build_char_388_mint,388_mint,mint,薄绿,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/mint,dbdac7315a2297b1615c05518fe94d08a983e9fe
四月,5,2020-09-24 16:00:00,April,build_char_365_aprl,365_aprl,april,四月,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/april,dbdac7315a2297b1615c05518fe94d08a983e9fe
史尔特尔,6,2020-09-24 16:00:00,Surtr,build_char_350_surtr,350_surtr,surtr,史尔特尔,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/surtr,dbdac7315a2297b1615c05518fe94d08a983e9fe
泡泡,4,2020-10-15 16:00:00,Bubble,build_char_381_bubble,381_bubble,bubble,泡泡,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/bubble,dbdac7315a2297b1615c05518fe94d08a983e9fe
鞭刃,5,2020-10-15 16:00:00,Whislash,build_char_265_sophia,265_sophia,whislash,鞭刃,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/whislash,dbdac7315a2297b1615c05518fe94d08a983e9fe
