operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
阿罗玛,5,2024-04-11 16:00:00,Aroma,build_char_446_aroma,446_aroma,aroma,阿罗玛,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/aroma,e81798e2f7db1c89b49ca2bff98e54094cce3fa4
阿斯卡纶,6,2024-04-11 16:00:00,Ascalon,build_char_4132_ascln,4132_ascln,ascalon,阿斯卡纶,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/ascalon,e81798e2f7db1c89b49ca2bff98e54094cce3fa4
PhonoR-0,1,2024-05-01 16:00:00,PhonoR-0,build_char_4136_phonor,4136_phonor,phonor-0,PhonoR-0,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/phonor-0,e81798e2f7db1c89b49ca2bff98e54094cce3fa4
魔王,6,2024-05-01 16:00:00,Civilight Eterna,build_char_4134_cetsyr,4134_cetsyr,civilight-eterna,魔王,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/civilight-eterna,e81798e2f7db1c89b49ca2bff98e54094cce3fa4
逻各斯,6,2024-05-01 16:00:00,Logos,build_char_4133_logos,4133_logos,logos,逻各斯,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/logos,e81798e2f7db1c89b49ca2bff98e54094cce3fa4
深巡,5,2024-06-05 16:00:00,Underflow,build_char_4137_udflow,4137_udflow,underflow,深巡,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/underflow,e81798e2f7db1c89b49ca2bff98e54094cce3fa4
海霓,5,2024-06-05 16:00:00,Lucilla,build_char_4079_haini,4079_haini,lucilla,海霓,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/lucilla,e81798e2f7db1c89b49ca2bff98e54094cce3fa4
乌尔比安,6,2024-06-05 16:00:00,Ulpianus,build_char_4145_ulpia,4145_ulpia,ulpianus,乌尔比安,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/ulpianus,e81798e2f7db1c89b49ca2bff98e54094cce3fa4
渡桥,5,2024-07-09 16:00:00,Mitm,build_char_4147_mitm,4147_mitm,mitm,渡桥,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/mitm,e81798e2f7db1c89b49ca2bff98e54094cce3fa4
妮芙,6,2024-07-09 16:00:00,Nymph,build_char_4146_nymph,4146_nymph,nymph,妮芙,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/nymph,e81798e2f7db1c89b49ca2bff98e54094cce3fa4
