operator,category,rarity,release_cn,appellation,asset_id,release_source,catalog_commit,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
麒麟R夜刀,default,6,2023-03-07 16:00:00,Kirin R Yato,build_char_1029_yato2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1029_yato2,kirin-r-yato,麒麟R夜刀,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/kirin-r-yato,55609bf6d9f3a2d9acd0753dc4377a4c157bf231
淬羽赫默,default,6,2023-05-01 16:00:00,Silence the Paradigmatic,build_char_1031_slent2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1031_slent2,silence-the-paradigmatic,淬羽赫默,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/silence-the-paradigmatic,55609bf6d9f3a2d9acd0753dc4377a4c157bf231
圣约送葬人,default,6,2023-06-08 16:00:00,Executor the Ex Foedere,build_char_1032_excu2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1032_excu2,executor-the-ex-foedere,圣约送葬人,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/executor-the-ex-foedere,55609bf6d9f3a2d9acd0753dc4377a4c157bf231
琳琅诗怀雅,default,6,2023-08-01 16:00:00,Swire the Elegant Wit,build_char_1033_swire2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1033_swire2,swire-the-elegant-wit,琳琅诗怀雅,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/swire-the-elegant-wit,55609bf6d9f3a2d9acd0753dc4377a4c157bf231
纯烬艾雅法拉,default,6,2023-08-01 16:00:00,Eyjafjalla the Hvít Aska,build_char_1016_agoat2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1016_agoat2,eyjafjalla-the-hvit-aska,纯烬艾雅法拉,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/eyjafjalla-the-hvit-aska,55609bf6d9f3a2d9acd0753dc4377a4c157bf231
涤火杰西卡,default,6,2023-09-05 16:00:00,Jessica the Liberated,build_char_1034_jesca2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1034_jesca2,jessica-the-liberated,涤火杰西卡,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/jessica-the-liberated,55609bf6d9f3a2d9acd0753dc4377a4c157bf231
历阵锐枪芬,default,5,2024-05-01 16:00:00,Fang the Fire-sharpened,build_char_1036_fang2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1036_fang2,fang-the-fire-sharpened,历阵锐枪芬,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/fang-the-fire-sharpened,55609bf6d9f3a2d9acd0753dc4377a4c157bf231
维什戴尔,default,6,2024-05-01 16:00:00,Wiš'adel,build_char_1035_wisdel,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1035_wisdel,wis-adel,维什戴尔,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/wis-adel,55609bf6d9f3a2d9acd0753dc4377a4c157bf231
维娜·维多利亚,default,6,2024-10-09 16:00:00,Vina Victoria,build_char_1019_siege2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1019_siege2,vina-victoria,维娜·维多利亚,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/vina-victoria,55609bf6d9f3a2d9acd0753dc4377a4c157bf231
荒芜拉普兰德,default,6,2024-11-01 16:00:00,Lappland the Decadenza,build_char_1038_whitw2,https://prts.wiki/w/干员实装时间,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,1038_whitw2,lappland-the-decadenza,荒芜拉普兰德,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/lappland-the-decadenza,55609bf6d9f3a2d9acd0753dc4377a4c157bf231
