operator,category,rarity,release_cn,appellation,asset_id,release_source,catalog_commit,skin_id,skin_name,skin_group,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit,model_key,pet_id,display_name
米格鲁,skin,3,2020-05-14 20:00:00,Beagle,build_char_122_beagle_boc#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_122_beagle@boc#1,无畏,斗争血脉/I,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/beagle-boc-1,f4ce5dc7bf5da212639ef2dcf22a13dbb89466d1,122_beagle_boc#1,beagle-boc-1,米格鲁·无畏
狮蝎,skin,5,2020-06-02 08:00:00,Manticore,build_char_215_mantic_epoque#4,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_215_mantic@epoque#4,无形悼挽,时代/IV,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/manticore-epoque-4,f4ce5dc7bf5da212639ef2dcf22a13dbb89466d1,215_mantic_epoque#4,manticore-epoque-4,狮蝎·无形悼挽
猎蜂,skin,4,2020-06-18 08:00:00,Beehunter,build_char_137_brownb_kitchen#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_137_brownb@kitchen#1,掠蜜能手,罗德厨房,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/beehunter-kitchen-1,f4ce5dc7bf5da212639ef2dcf22a13dbb89466d1,137_brownb_kitchen#1,beehunter-kitchen-1,猎蜂·掠蜜能手
真理,skin,5,2020-06-18 08:00:00,Истина,build_char_195_glassb_kitchen#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_195_glassb@kitchen#1,书味,罗德厨房,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/istina-kitchen-1,f4ce5dc7bf5da212639ef2dcf22a13dbb89466d1,195_glassb_kitchen#1,istina-kitchen-1,真理·书味
麦哲伦,skin,6,2020-06-18 08:00:00,Magallan,build_char_248_mgllan_kitchen#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_248_mgllan@kitchen#1,回味冰霜雪,罗德厨房,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/magallan-kitchen-1,f4ce5dc7bf5da212639ef2dcf22a13dbb89466d1,248_mgllan_kitchen#1,magallan-kitchen-1,麦哲伦·回味冰霜雪
夜魔,skin,5,2020-06-24 20:00:00,Nightmare,build_char_164_nightm_epoque#5,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_164_nightm@epoque#5,光影,时代/IV,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/nightmare-epoque-5,f4ce5dc7bf5da212639ef2dcf22a13dbb89466d1,164_nightm_epoque#5,nightmare-epoque-5,夜魔·光影
星极,skin,5,2020-07-09 08:00:00,Astesia,build_char_274_astesi_epoque#5,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_274_astesi@epoque#5,寻耀,时代/V,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/astesia-epoque-5,f4ce5dc7bf5da212639ef2dcf22a13dbb89466d1,274_astesi_epoque#5,astesia-epoque-5,星极·寻耀
莫斯提马,skin,6,2020-07-09 08:00:00,Mostima,build_char_213_mostma_epoque#5,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_213_mostma@epoque#5,除魅,时代/V,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/mostima-epoque-5,f4ce5dc7bf5da212639ef2dcf22a13dbb89466d1,213_mostma_epoque#5,mostima-epoque-5,莫斯提马·除魅
临光,skin,5,2020-07-28 08:00:00,Nearl,build_char_148_nearl_summer#2,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_148_nearl@summer#2,灿阳朝露 SD01,珊瑚海岸/II,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/nearl-summer-2,f4ce5dc7bf5da212639ef2dcf22a13dbb89466d1,148_nearl_summer#2,nearl-summer-2,临光·灿阳朝露 SD01
暗索,skin,4,2020-07-28 08:00:00,Rope,build_char_236_rope_summer#2,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_236_rope@summer#2,夏卉 FA008,珊瑚海岸/II,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/rope-summer-2,f4ce5dc7bf5da212639ef2dcf22a13dbb89466d1,236_rope_summer#2,rope-summer-2,暗索·夏卉 FA008
