operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path
九色鹿,5,2022-01-10 16:00:00,Nine-Colored Deer,build_char_4019_ncdeer,4019_ncdeer,nine-colored-deer,九色鹿,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/nine-colored-deer
夜半,5,2022-01-25 16:00:00,Blacknight,build_char_476_blkngt,476_blkngt,blacknight,夜半,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/blacknight
老鲤,6,2022-01-25 16:00:00,Lee,build_char_322_lmlee,322_lmlee,lee,老鲤,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/lee
令,6,2022-01-25 16:00:00,Ling,build_char_2023_ling,2023_ling,ling,令,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/ling
夏栎,5,2022-02-15 16:00:00,Quercus,build_char_492_quercu,492_quercu,quercus,夏栎,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/quercus
澄闪,6,2022-02-15 16:00:00,Goldenglow,build_char_377_gdglow,377_gdglow,goldenglow,澄闪,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/goldenglow
见行者,5,2022-03-15 16:00:00,Enforcer,build_char_4036_forcer,4036_forcer,enforcer,见行者,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/enforcer
风丸,5,2022-03-15 16:00:00,Kazemaru,build_char_4016_kazema,4016_kazema,kazemaru,风丸,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/kazemaru
菲亚梅塔,6,2022-03-15 16:00:00,Fiammetta,build_char_300_phenxi,300_phenxi,fiammetta,菲亚梅塔,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/fiammetta
褐果,4,2022-04-14 16:00:00,Chestnut,build_char_4041_chnut,4041_chnut,chestnut,褐果,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/chestnut
