operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
炎客,5,2019-10-15 16:00:00,Flamebringer,build_char_131_flameb,131_flameb,flamebringer,炎客,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/flamebringer,40d91c2aa995afd16a7c867187f3df108d6cc231
送葬人,5,2019-10-15 16:00:00,Executor,build_char_279_excu,279_excu,executor,送葬人,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/executor,40d91c2aa995afd16a7c867187f3df108d6cc231
麦哲伦,6,2019-10-15 16:00:00,Magallan,build_char_248_mgllan,248_mgllan,magallan,麦哲伦,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/magallan,40d91c2aa995afd16a7c867187f3df108d6cc231
伊桑,4,2019-11-01 04:00:00,Ethan,build_char_355_ethan,355_ethan,ethan,伊桑,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/ethan,40d91c2aa995afd16a7c867187f3df108d6cc231
微风,5,2019-11-01 04:00:00,Breeze,build_char_275_breeze,275_breeze,breeze,微风,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/breeze,40d91c2aa995afd16a7c867187f3df108d6cc231
梅,4,2019-11-19 16:00:00,May,build_char_133_mm,133_mm,may,梅,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/may,40d91c2aa995afd16a7c867187f3df108d6cc231
拜松,5,2019-11-19 16:00:00,Bison,build_char_325_bison,325_bison,bison,拜松,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/bison,40d91c2aa995afd16a7c867187f3df108d6cc231
槐琥,5,2019-11-19 16:00:00,Waai Fu,build_char_243_waaifu,243_waaifu,waai-fu,槐琥,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/waai-fu,40d91c2aa995afd16a7c867187f3df108d6cc231
莫斯提马,6,2019-11-19 16:00:00,Mostima,build_char_213_mostma,213_mostma,mostima,莫斯提马,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/mostima,40d91c2aa995afd16a7c867187f3df108d6cc231
苇草,5,2019-12-10 16:00:00,Reed,build_char_261_sddrag,261_sddrag,reed,苇草,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/reed,40d91c2aa995afd16a7c867187f3df108d6cc231
