operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path
空爆,3,2019-05-23 10:00:00,Catapult,build_char_282_catap,282_catap,catapult,空爆,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/catapult
月见夜,3,2019-05-30 10:00:00,Midnight,build_char_283_midn,283_midn,midnight,月见夜,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/midnight
猎蜂,4,2019-05-30 10:00:00,Beehunter,build_char_137_brownb,137_brownb,beehunter,猎蜂,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/beehunter
夜魔,5,2019-05-30 10:00:00,Nightmare,build_char_164_nightm,164_nightm,nightmare,夜魔,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/nightmare
格拉尼,5,2019-05-30 10:00:00,Grani,build_char_220_grani,220_grani,grani,格拉尼,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/grani
斯卡蒂,6,2019-05-30 10:00:00,Skadi,build_char_263_skadi,263_skadi,skadi,斯卡蒂,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/skadi
泡普卡,3,2019-07-09 16:00:00,Popukar,build_char_281_popka,281_popka,popukar,泡普卡,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/popukar
斑点,3,2019-07-09 16:00:00,Spot,build_char_284_spot,284_spot,spot,斑点,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/spot
格雷伊,4,2019-07-09 16:00:00,Greyy,build_char_253_greyy,253_greyy,greyy,格雷伊,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/greyy
诗怀雅,5,2019-07-09 16:00:00,Swire,build_char_308_swire,308_swire,swire,诗怀雅,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/swire
