operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
卡达,4,2020-07-09 16:00:00,Click,build_char_328_cammou,328_cammou,click,卡达,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/click,fc5199689348a89b71959005211a02a753bfb354
亚叶,5,2020-07-09 16:00:00,Folinic,build_char_345_folnic,345_folnic,folinic,亚叶,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/folinic,fc5199689348a89b71959005211a02a753bfb354
断崖,5,2020-07-09 16:00:00,Ayerscarpe,build_char_294_ayer,294_ayer,ayerscarpe,断崖,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/ayerscarpe,fc5199689348a89b71959005211a02a753bfb354
铃兰,6,2020-07-09 16:00:00,Suzuran,build_char_358_lisa,358_lisa,suzuran,铃兰,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/suzuran,fc5199689348a89b71959005211a02a753bfb354
稀音,5,2020-07-28 16:00:00,Scene,build_char_336_folivo,336_folivo,scene,稀音,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/scene,fc5199689348a89b71959005211a02a753bfb354
蜜蜡,5,2020-07-28 16:00:00,Beeswax,build_char_344_beewax,344_beewax,beeswax,蜜蜡,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/beeswax,fc5199689348a89b71959005211a02a753bfb354
贾维,5,2020-07-28 16:00:00,Chiave,build_char_349_chiave,349_chiave,chiave,贾维,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/chiave,fc5199689348a89b71959005211a02a753bfb354
孑,4,2020-08-11 16:00:00,Jaye,build_char_272_strong,272_strong,jaye,孑,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/jaye,fc5199689348a89b71959005211a02a753bfb354
安哲拉,5,2020-08-11 16:00:00,Andreana,build_char_218_cuttle,218_cuttle,andreana,安哲拉,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/andreana,fc5199689348a89b71959005211a02a753bfb354
棘刺,6,2020-08-11 16:00:00,Thorns,build_char_293_thorns,293_thorns,thorns,棘刺,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/thorns,fc5199689348a89b71959005211a02a753bfb354
