operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
深律,5,2023-11-01 16:00:00,Bassline,build_char_4109_baslin,4109_baslin,bassline,深律,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/bassline,1a4667a9649b9cd1f370ef9faf5092744f642019
止颂,6,2023-11-01 16:00:00,Lessing,build_char_4011_lessng,4011_lessng,lessing,止颂,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/lessing,1a4667a9649b9cd1f370ef9faf5092744f642019
薇薇安娜,6,2023-11-01 16:00:00,Viviana,build_char_4098_vvana,4098_vvana,viviana,薇薇安娜,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/viviana,1a4667a9649b9cd1f370ef9faf5092744f642019
塑心,6,2023-11-01 16:00:00,Virtuosa,build_char_245_cello,245_cello,virtuosa,塑心,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/virtuosa,1a4667a9649b9cd1f370ef9faf5092744f642019
哈洛德,5,2023-12-05 16:00:00,Harold,build_char_4114_harold,4114_harold,harold,哈洛德,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/harold,1a4667a9649b9cd1f370ef9faf5092744f642019
烈夏,5,2023-12-05 16:00:00,Leto,build_char_194_leto,194_leto,leto,烈夏,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/leto,1a4667a9649b9cd1f370ef9faf5092744f642019
锏,6,2023-12-05 16:00:00,Degenbrecher,build_char_4116_blkkgt,4116_blkkgt,degenbrecher,锏,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/degenbrecher,1a4667a9649b9cd1f370ef9faf5092744f642019
温米,5,2024-01-09 16:00:00,Warmy,build_char_4081_warmy,4081_warmy,warmy,温米,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/warmy,1a4667a9649b9cd1f370ef9faf5092744f642019
莱伊,6,2024-01-09 16:00:00,Ray,build_char_4117_ray,4117_ray,ray,莱伊,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/ray,1a4667a9649b9cd1f370ef9faf5092744f642019
万顷,5,2024-02-01 16:00:00,Wanqing,build_char_4119_wanqin,4119_wanqin,wanqing,万顷,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/wanqing,1a4667a9649b9cd1f370ef9faf5092744f642019
