operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
余,6,2025-01-22 16:00:00,Yu,build_char_2026_yu,2026_yu,yu,余,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/yu,9e889617677cfa53f24064958b18db36e9c8f45f
诺威尔,5,2025-02-14 16:00:00,Nowell,build_char_4173_nowell,4173_nowell,nowell,诺威尔,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/nowell,9e889617677cfa53f24064958b18db36e9c8f45f
隐德来希,6,2025-02-14 16:00:00,Entelechia,build_char_4010_etlchi,4010_etlchi,entelechia,隐德来希,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/entelechia,9e889617677cfa53f24064958b18db36e9c8f45f
水灯心,5,2025-03-07 16:00:00,Brigid,build_char_4177_brigid,4177_brigid,brigid,水灯心,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/brigid,9e889617677cfa53f24064958b18db36e9c8f45f
钼铅,5,2025-03-07 16:00:00,Wulfenite,build_char_4171_wulfen,4171_wulfen,wulfenite,钼铅,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/wulfenite,9e889617677cfa53f24064958b18db36e9c8f45f
骋风,4,2025-04-07 16:00:00,Windscoot,build_char_445_wscoot,445_wscoot,windscoot,骋风,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/windscoot,9e889617677cfa53f24064958b18db36e9c8f45f
阿兰娜,5,2025-04-07 16:00:00,Alanna,build_char_4178_alanna,4178_alanna,alanna,阿兰娜,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/alanna,9e889617677cfa53f24064958b18db36e9c8f45f
Mon3tr,6,2025-04-07 16:00:00,Mon3tr,build_char_4179_monstr,4179_monstr,mon3tr,Mon3tr,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/mon3tr,9e889617677cfa53f24064958b18db36e9c8f45f
CONFESS-47,1,2025-05-01 16:00:00,CONFESS-47,build_char_4188_confes,4188_confes,confess-47,CONFESS-47,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/confess-47,9e889617677cfa53f24064958b18db36e9c8f45f
聆音,5,2025-05-01 16:00:00,Gracebearer,build_char_4187_graceb,4187_graceb,gracebearer,聆音,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/gracebearer,9e889617677cfa53f24064958b18db36e9c8f45f
