operator,category,rarity,release_cn,appellation,asset_id,release_source,catalog_commit,skin_id,skin_name,skin_group,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
陨星,skin,5,2019-10-15 16:00:00,Meteorite,build_char_219_meteo_sweep#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_219_meteo@sweep#1,石墨,雷神开拓者,219_meteo_sweep#1,meteorite-sweep-1,陨星·石墨,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/meteorite-sweep-1,ea12f2ebb4c56c43eb3f8a6b4f1ef3b0fe81ca3c
克洛丝,skin,3,2019-11-01 04:00:00,Kroos,build_char_124_kroos_witch#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_124_kroos@witch#1,魔术师,巫异盛宴,124_kroos_witch#1,kroos-witch-1,克洛丝·魔术师,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/kroos-witch-1,ea12f2ebb4c56c43eb3f8a6b4f1ef3b0fe81ca3c
华法琳,skin,5,2019-11-01 04:00:00,Warfarin,build_char_171_bldsk_witch#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_171_bldsk@witch#1,盛宴,巫异盛宴,171_bldsk_witch#1,warfarin-witch-1,华法琳·盛宴,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/warfarin-witch-1,ea12f2ebb4c56c43eb3f8a6b4f1ef3b0fe81ca3c
夜莺,skin,6,2019-11-01 04:00:00,Nightingale,build_char_179_cgbird_witch#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_179_cgbird@witch#1,挽歌,巫异盛宴,179_cgbird_witch#1,nightingale-witch-1,夜莺·挽歌,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/nightingale-witch-1,ea12f2ebb4c56c43eb3f8a6b4f1ef3b0fe81ca3c
能天使,skin,6,2019-11-04 04:00:00,Exusiai,build_char_103_angel_kfc#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_103_angel@kfc#1,城市骑手,肯德基,103_angel_kfc#1,exusiai-kfc-1,能天使·城市骑手,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/exusiai-kfc-1,ea12f2ebb4c56c43eb3f8a6b4f1ef3b0fe81ca3c
暗索,skin,4,2019-11-07 04:00:00,Rope,build_char_236_rope_witch#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_236_rope@witch#1,小鬼当家,巫异盛宴,236_rope_witch#1,rope-witch-1,暗索·小鬼当家,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/rope-witch-1,ea12f2ebb4c56c43eb3f8a6b4f1ef3b0fe81ca3c
伊芙利特,skin,6,2019-11-11 04:00:00,Ifrit,build_char_134_ifrit_kfc#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_134_ifrit@kfc#1,儿童派对,肯德基,134_ifrit_kfc#1,ifrit-kfc-1,伊芙利特·儿童派对,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/ifrit-kfc-1,ea12f2ebb4c56c43eb3f8a6b4f1ef3b0fe81ca3c
杰西卡,skin,4,2019-11-19 16:00:00,Jessica,build_char_235_jesica_wild#2,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_235_jesica@wild#2,燃灰,生命之地/II,235_jesica_wild#2,jessica-wild-2,杰西卡·燃灰,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/jessica-wild-2,ea12f2ebb4c56c43eb3f8a6b4f1ef3b0fe81ca3c
守林人,skin,5,2019-11-19 16:00:00,Firewatch,build_char_158_milu_wild#2,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_158_milu@wild#2,枯柏,生命之地/II,158_milu_wild#2,firewatch-wild-2,守林人·枯柏,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/firewatch-wild-2,ea12f2ebb4c56c43eb3f8a6b4f1ef3b0fe81ca3c
推进之王,skin,6,2019-11-19 16:00:00,Siege,build_char_112_siege_wild#2,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_112_siege@wild#2,遗石,生命之地/II,112_siege_wild#2,siege-wild-2,推进之王·遗石,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/siege-wild-2,ea12f2ebb4c56c43eb3f8a6b4f1ef3b0fe81ca3c
