operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
锡人,5,2024-07-16 16:00:00,Tin Man,build_char_4151_tinman,4151_tinman,tin-man,锡人,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/tin-man,a95bc060f68b3f8c5796edcfc57675235e5bc54f
莎草,5,2024-08-01 16:00:00,Papyrus,build_char_4139_papyrs,4139_papyrs,papyrus,莎草,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/papyrus,a95bc060f68b3f8c5796edcfc57675235e5bc54f
衡沙,5,2024-08-01 16:00:00,Sand Reckoner,build_char_4140_lasher,4140_lasher,sand-reckoner,衡沙,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/sand-reckoner,a95bc060f68b3f8c5796edcfc57675235e5bc54f
娜仁图亚,6,2024-08-01 16:00:00,Narantuya,build_char_4138_narant,4138_narant,narantuya,娜仁图亚,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/narantuya,a95bc060f68b3f8c5796edcfc57675235e5bc54f
佩佩,6,2024-08-01 16:00:00,Pepe,build_char_4058_pepe,4058_pepe,pepe,佩佩,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/pepe,a95bc060f68b3f8c5796edcfc57675235e5bc54f
森西,5,2024-09-02 16:00:00,Senshi,build_char_4143_sensi,4143_sensi,senshi,森西,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/senshi,a95bc060f68b3f8c5796edcfc57675235e5bc54f
齐尔查克,5,2024-09-02 16:00:00,Chilchuck,build_char_4144_chilc,4144_chilc,chilchuck,齐尔查克,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/chilchuck,a95bc060f68b3f8c5796edcfc57675235e5bc54f
莱欧斯,5,2024-09-02 16:00:00,Laios,build_char_4142_laios,4142_laios,laios,莱欧斯,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/laios,a95bc060f68b3f8c5796edcfc57675235e5bc54f
玛露西尔,6,2024-09-02 16:00:00,Marcille,build_char_4141_marcil,4141_marcil,marcille,玛露西尔,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/marcille,a95bc060f68b3f8c5796edcfc57675235e5bc54f
凯瑟琳,5,2024-10-09 16:00:00,Catherine,build_char_4162_cathy,4162_cathy,catherine,凯瑟琳,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/catherine,a95bc060f68b3f8c5796edcfc57675235e5bc54f
