operator,category,rarity,release_cn,appellation,asset_id,release_source,catalog_commit,skin_id,skin_name,skin_group,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
讯使,skin,4,2019-05-30 10:00:00,Courier,build_char_198_blackd_winter#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_198_blackd@winter#1,新航线,寒武纪/I,198_blackd_winter#1,courier-winter-1,讯使·新航线,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/courier-winter-1,b549c85aa224966977b6f57e56263bbf11120be5
德克萨斯,skin,5,2019-05-30 10:00:00,Texas,build_char_102_texas_winter#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_102_texas@winter#1,寒冬信使,寒武纪/I,102_texas_winter#1,texas-winter-1,德克萨斯·寒冬信使,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/texas-winter-1,b549c85aa224966977b6f57e56263bbf11120be5
幽灵鲨,skin,5,2019-05-30 10:00:00,Specter,build_char_143_ghost_winter#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_143_ghost@winter#1,暗流,寒武纪/I,143_ghost_winter#1,specter-winter-1,幽灵鲨·暗流,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/specter-winter-1,b549c85aa224966977b6f57e56263bbf11120be5
蛇屠箱,skin,4,2019-07-09 16:00:00,Cuora,build_char_150_snakek_wild#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_150_snakek@wild#1,四边形,生命之地/I,150_snakek_wild#1,cuora-wild-1,蛇屠箱·四边形,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/cuora-wild-1,b549c85aa224966977b6f57e56263bbf11120be5
崖心,skin,5,2019-07-09 16:00:00,Cliffheart,build_char_173_slchan_wild#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_173_slchan@wild#1,孤攀客,生命之地/I,173_slchan_wild#1,cliffheart-wild-1,崖心·孤攀客,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/cliffheart-wild-1,b549c85aa224966977b6f57e56263bbf11120be5
能天使,skin,6,2019-07-09 16:00:00,Exusiai,build_char_103_angel_wild#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_103_angel@wild#1,野地秘行,生命之地/I,103_angel_wild#1,exusiai-wild-1,能天使·野地秘行,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/exusiai-wild-1,b549c85aa224966977b6f57e56263bbf11120be5
调香师,skin,4,2019-07-15 04:00:00,Perfumer,build_char_181_flower_daily#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_181_flower@daily#1,植物种志,忒斯特收藏/I,181_flower_daily#1,perfumer-daily-1,调香师·植物种志,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/perfumer-daily-1,b549c85aa224966977b6f57e56263bbf11120be5
末药,skin,4,2019-07-28 04:00:00,Myrrh,build_char_117_myrrh_wild#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_117_myrrh@wild#1,辛味,生命之地/I,117_myrrh_wild#1,myrrh-wild-1,末药·辛味,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/myrrh-wild-1,b549c85aa224966977b6f57e56263bbf11120be5
安赛尔,skin,3,2019-08-27 16:00:00,Ansel,build_char_212_ansel_summer#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_212_ansel@summer#1,悠然假日 HDm06,珊瑚海岸/I,212_ansel_summer#1,ansel-summer-1,安赛尔·悠然假日 HDm06,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/ansel-summer-1,b549c85aa224966977b6f57e56263bbf11120be5
红豆,skin,4,2019-08-27 16:00:00,Vigna,build_char_290_vigna_summer#1,https://raw.githubusercontent.com/Kengxxiao/ArknightsGameData/master/zh_CN/gamedata/excel/skin_table.json,3619a9a7268ec049dbbb30d1cff0ffa6d3fdf5ed,char_290_vigna@summer#1,悠然假日 HD01,珊瑚海岸/I,290_vigna_summer#1,vigna-summer-1,红豆·悠然假日 HD01,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/vigna-summer-1,b549c85aa224966977b6f57e56263bbf11120be5
