operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
苍苔,5,2023-08-01 16:00:00,Bryophyta,build_char_4106_bryota,4106_bryota,bryophyta,苍苔,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/bryophyta,feaf544fa40110f02da60ea93232aadd391441aa
青枳,5,2023-08-01 16:00:00,Poncirus,build_char_488_buildr,488_buildr,poncirus,青枳,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/poncirus,feaf544fa40110f02da60ea93232aadd391441aa
冰酿,5,2023-09-05 16:00:00,Coldshot,build_char_4104_coldst,4104_coldst,coldshot,冰酿,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/coldshot,feaf544fa40110f02da60ea93232aadd391441aa
杏仁,5,2023-09-05 16:00:00,Almond,build_char_4105_almond,4105_almond,almond,杏仁,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/almond,feaf544fa40110f02da60ea93232aadd391441aa
维荻,4,2023-10-08 16:00:00,Verdant,build_char_4107_vrdant,4107_vrdant,verdant,维荻,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/verdant,feaf544fa40110f02da60ea93232aadd391441aa
戴菲恩,5,2023-10-08 16:00:00,Delphine,build_char_4110_delphn,4110_delphn,delphine,戴菲恩,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/delphine,feaf544fa40110f02da60ea93232aadd391441aa
刺玫,5,2023-10-08 16:00:00,Vendela,build_char_494_vendla,494_vendla,vendela,刺玫,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/vendela,feaf544fa40110f02da60ea93232aadd391441aa
赫德雷,6,2023-10-08 16:00:00,Hoederer,build_char_4088_hodrer,4088_hodrer,hoederer,赫德雷,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/hoederer,feaf544fa40110f02da60ea93232aadd391441aa
跃跃,4,2023-11-01 16:00:00,Caper,build_char_4100_caper,4100_caper,caper,跃跃,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/caper,feaf544fa40110f02da60ea93232aadd391441aa
折光,5,2023-11-01 16:00:00,Diamante,build_char_499_kaitou,499_kaitou,diamante,折光,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/diamante,feaf544fa40110f02da60ea93232aadd391441aa
