operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
海蒂,5,2022-04-14 16:00:00,Heidi,build_char_4045_heidi,4045_heidi,heidi,海蒂,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/heidi,8f455876635b360c6be83dd9308e7d6db077a6eb
洛洛,5,2022-04-14 16:00:00,Rockrock,build_char_4040_rockr,4040_rockr,rockrock,洛洛,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/rockrock,8f455876635b360c6be83dd9308e7d6db077a6eb
号角,6,2022-04-14 16:00:00,Horn,build_char_4039_horn,4039_horn,horn,号角,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/horn,8f455876635b360c6be83dd9308e7d6db077a6eb
掠风,5,2022-05-01 16:00:00,Windflit,build_char_433_windft,433_windft,windflit,掠风,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/windflit,8f455876635b360c6be83dd9308e7d6db077a6eb
流明,6,2022-05-01 16:00:00,Lumen,build_char_4042_lumen,4042_lumen,lumen,流明,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/lumen,8f455876635b360c6be83dd9308e7d6db077a6eb
艾丽妮,6,2022-05-01 16:00:00,Irene,build_char_4009_irene,4009_irene,irene,艾丽妮,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/irene,8f455876635b360c6be83dd9308e7d6db077a6eb
埃拉托,5,2022-05-19 16:00:00,Erato,build_char_4043_erato,4043_erato,erato,埃拉托,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/erato,8f455876635b360c6be83dd9308e7d6db077a6eb
车尔尼,5,2022-06-09 16:00:00,Czerny,build_char_4047_pianst,4047_pianst,czerny,车尔尼,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/czerny,8f455876635b360c6be83dd9308e7d6db077a6eb
黑键,6,2022-06-09 16:00:00,Ebenholz,build_char_4046_ebnhlz,4046_ebnhlz,ebenholz,黑键,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/ebenholz,8f455876635b360c6be83dd9308e7d6db077a6eb
星源,5,2022-07-05 16:00:00,Astgenne,build_char_135_halo,135_halo,astgenne,星源,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/astgenne,8f455876635b360c6be83dd9308e7d6db077a6eb
