operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
卡涅利安,6,2021-06-01 16:00:00,Carnelian,build_char_426_billro,426_billro,carnelian,卡涅利安,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/carnelian,9c1c3667b6d5b9aa30e9ae0e1a11aaec9dabdf5a
帕拉斯,6,2021-07-02 16:00:00,Pallas,build_char_485_pallas,485_pallas,pallas,帕拉斯,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/pallas,9c1c3667b6d5b9aa30e9ae0e1a11aaec9dabdf5a
龙舌兰,5,2021-08-03 16:00:00,Tequila,build_char_486_takila,486_takila,tequila,龙舌兰,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/tequila,9c1c3667b6d5b9aa30e9ae0e1a11aaec9dabdf5a
羽毛笔,5,2021-08-03 16:00:00,La Pluma,build_char_421_crow,421_crow,la-pluma,羽毛笔,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/la-pluma,9c1c3667b6d5b9aa30e9ae0e1a11aaec9dabdf5a
水月,6,2021-08-03 16:00:00,Mizuki,build_char_437_mizuki,437_mizuki,mizuki,水月,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/mizuki,9c1c3667b6d5b9aa30e9ae0e1a11aaec9dabdf5a
罗比菈塔,4,2021-09-17 16:00:00,Roberta,build_char_484_robrta,484_robrta,roberta,罗比菈塔,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/roberta,9c1c3667b6d5b9aa30e9ae0e1a11aaec9dabdf5a
桑葚,5,2021-09-17 16:00:00,Mulberry,build_char_473_mberry,473_mberry,mulberry,桑葚,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/mulberry,9c1c3667b6d5b9aa30e9ae0e1a11aaec9dabdf5a
琴柳,6,2021-09-17 16:00:00,Saileach,build_char_479_sleach,479_sleach,saileach,琴柳,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/saileach,9c1c3667b6d5b9aa30e9ae0e1a11aaec9dabdf5a
灰毫,5,2021-10-15 16:00:00,Ashlock,build_char_431_ashlok,431_ashlok,ashlock,灰毫,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/ashlock,9c1c3667b6d5b9aa30e9ae0e1a11aaec9dabdf5a
远牙,6,2021-10-15 16:00:00,Fartooth,build_char_430_fartth,430_fartth,fartooth,远牙,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/fartooth,9c1c3667b6d5b9aa30e9ae0e1a11aaec9dabdf5a
