operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path
清流,4,2020-03-03 04:00:00,Purestream,build_char_385_finlpp,385_finlpp,purestream,清流,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/purestream
宴,4,2020-03-17 16:00:00,Utage,build_char_337_utage,337_utage,utage,宴,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/utage
柏喙,5,2020-03-17 16:00:00,Bibeak,build_char_252_bibeak,252_bibeak,bibeak,柏喙,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/bibeak
慑砂,5,2020-03-17 16:00:00,Sesa,build_char_379_sesa,379_sesa,sesa,慑砂,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/sesa
风笛,6,2020-03-17 16:00:00,Bagpipe,build_char_222_bpipe,222_bpipe,bagpipe,风笛,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/bagpipe
断罪者,4,2020-04-01 16:00:00,Conviction,build_char_159_peacok,159_peacok,conviction,断罪者,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/conviction
刻刀,4,2020-04-21 16:00:00,Cutter,build_char_301_cutter,301_cutter,cutter,刻刀,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/cutter
铸铁,5,2020-04-21 16:00:00,Sideroca,build_char_333_sidero,333_sidero,sideroca,铸铁,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/sideroca
巫恋,5,2020-04-21 16:00:00,Shamare,build_char_254_vodfox,254_vodfox,shamare,巫恋,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/shamare
傀影,6,2020-04-21 16:00:00,Phantom,build_char_250_phatom,250_phatom,phantom,傀影,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/phantom
