operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path
多萝西,6,2022-07-05 16:00:00,Dorothy,build_char_4048_doroth,4048_doroth,dorothy,多萝西,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/dorothy
至简,5,2022-08-11 16:00:00,Minimalist,build_char_4054_malist,4054_malist,minimalist,至简,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/minimalist
晓歌,5,2022-08-11 16:00:00,Cantabile,build_char_497_ctable,497_ctable,cantabile,晓歌,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/cantabile
鸿雪,6,2022-08-11 16:00:00,Pozëmka,build_char_4055_bgsnow,4055_bgsnow,pozemka,鸿雪,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/pozemka
但书,5,2022-09-08 16:00:00,Proviso,build_char_4032_provs,4032_provs,proviso,但书,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/proviso
玛恩纳,6,2022-09-08 16:00:00,Młynar,build_char_4064_mlynar,4064_mlynar,mlynar,玛恩纳,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/mlynar
罗小黑,4,2022-09-15 16:00:00,Luo Xiaohei,build_char_4067_lolxh,4067_lolxh,luo-xiaohei,罗小黑,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/luo-xiaohei
海沫,5,2022-09-27 16:00:00,Highmore,build_char_4066_highmo,4066_highmo,highmore,海沫,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/highmore
铅踝,4,2022-10-11 16:00:00,Totter,build_char_4062_totter,4062_totter,totter,铅踝,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/totter
达格达,5,2022-10-11 16:00:00,Dagda,build_char_157_dagda,157_dagda,dagda,达格达,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/dagda
