operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
正义骑士号,1,2021-11-01 16:00:00,Justice Knight,build_char_4000_jnight,4000_jnight,justice-knight,正义骑士号,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/justice-knight,17184787ebdb2f5c371b49193433cb67a8b3782a
布丁,4,2021-11-01 16:00:00,Pudding,build_char_4004_pudd,4004_pudd,pudding,布丁,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/pudding,17184787ebdb2f5c371b49193433cb67a8b3782a
蜜莓,5,2021-11-01 16:00:00,Honeyberry,build_char_449_glider,449_glider,honeyberry,蜜莓,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/honeyberry,17184787ebdb2f5c371b49193433cb67a8b3782a
野鬃,5,2021-11-01 16:00:00,Wild Mane,build_char_496_wildmn,496_wildmn,wild-mane,野鬃,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/wild-mane,17184787ebdb2f5c371b49193433cb67a8b3782a
蚀清,5,2021-11-01 16:00:00,Corroserum,build_char_489_serum,489_serum,corroserum,蚀清,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/corroserum,17184787ebdb2f5c371b49193433cb67a8b3782a
焰尾,6,2021-11-01 16:00:00,Flametail,build_char_420_flamtl,420_flamtl,flametail,焰尾,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/flametail,17184787ebdb2f5c371b49193433cb67a8b3782a
耶拉,5,2021-12-21 16:00:00,Kjera,build_char_4013_kjera,4013_kjera,kjera,耶拉,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/kjera,17184787ebdb2f5c371b49193433cb67a8b3782a
极光,5,2021-12-21 16:00:00,Aurora,build_char_422_aurora,422_aurora,aurora,极光,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/aurora,17184787ebdb2f5c371b49193433cb67a8b3782a
灵知,6,2021-12-21 16:00:00,Gnosis,build_char_206_gnosis,206_gnosis,gnosis,灵知,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/gnosis,17184787ebdb2f5c371b49193433cb67a8b3782a
暮落,5,2022-01-05 16:00:00,Shalem,build_char_4025_aprot2,4025_aprot2,shalem,暮落,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/shalem,17184787ebdb2f5c371b49193433cb67a8b3782a
