operator,rarity,release_cn,appellation,asset_id,model_key,pet_id,display_name,status,stage,attempts,qa,error,preflight,preview_render,mapping_qa,production_render,frames_qa,standard_qa,standard_visual_qa,direction_probe,direction_render,direction_evidence_qa,direction_qa,atlas_qa,visual_qa,package_qa,package_path,commit
波卜,5,2024-10-09 16:00:00,Bobbing,build_char_487_bobb,487_bobb,bobbing,波卜,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/bobbing,c75938c984fac40176f0db7b88f788c76095684b
云迹,4,2024-11-01 16:00:00,Contrail,build_char_4165_ctrail,4165_ctrail,contrail,云迹,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/contrail,c75938c984fac40176f0db7b88f788c76095684b
菲莱,5,2024-11-01 16:00:00,Philae,build_char_4148_philae,4148_philae,philae,菲莱,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/philae,c75938c984fac40176f0db7b88f788c76095684b
裁度,5,2024-11-01 16:00:00,Figurino,build_char_4155_talr,4155_talr,figurino,裁度,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/figurino,c75938c984fac40176f0db7b88f788c76095684b
弑君者,6,2024-11-01 16:00:00,Crownslayer,build_char_1502_crosly,1502_crosly,crownslayer,弑君者,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/crownslayer,c75938c984fac40176f0db7b88f788c76095684b
忍冬,6,2024-11-01 16:00:00,Vulpisfoglia,build_char_4026_vulpis,4026_vulpis,vulpisfoglia,忍冬,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/vulpisfoglia,c75938c984fac40176f0db7b88f788c76095684b
瑰盐,5,2024-12-05 16:00:00,Rose Salt,build_char_4163_rosesa,4163_rosesa,rose-salt,瑰盐,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/rose-salt,c75938c984fac40176f0db7b88f788c76095684b
特克诺,5,2024-12-05 16:00:00,Tecno,build_char_4164_tecno,4164_tecno,tecno,特克诺,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/tecno,c75938c984fac40176f0db7b88f788c76095684b
行箸,5,2025-01-22 16:00:00,Xingzhu,build_char_4172_xingzh,4172_xingzh,xingzhu,行箸,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/xingzhu,c75938c984fac40176f0db7b88f788c76095684b
寻澜,5,2025-01-22 16:00:00,Surfer,build_char_4052_surfer,4052_surfer,surfer,寻澜,complete,packaged,0,,,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pass,pets/surfer,c75938c984fac40176f0db7b88f788c76095684b
